Time (s),Temperature at center,Average Temperature
164,35.0,37.48
165,40.0,37.48
166,35.0,37.48
167,40.0,37.48
168,35.0,37.48
169,40.0,37.48
170,35.0,37.48
171,40.0,37.48
172,35.0,37.48
173,40.0,37.48
174,35.0,37.48
175,40.0,37.48
176,35.0,37.48
177,40.0,37.48
178,35.0,37.48
179,40.0,37.48
180,35.0,37.48
181,40.0,37.48
182,35.0,37.48
183,40.0,37.48
184,35.0,37.48
185,40.0,37.48
186,35.0,37.48
187,40.0,37.48
188,35.0,37.48
189,40.0,37.48
190,35.0,37.48
191,40.0,37.48
192,35.0,37.48
193,40.0,37.48
194,35.0,37.48
195,40.0,37.48
196,35.0,37.48
197,40.0,37.48
198,35.0,37.48
199,40.0,37.48
200,35.0,37.48
201,40.0,37.48
202,35.0,37.48
203,40.0,37.48
204,35.0,37.48
205,40.0,37.48
206,35.0,37.48
207,40.0,37.48
208,35.0,37.48
209,40.0,37.48
210,35.0,37.48
211,40.0,37.48
212,35.0,37.48
213,40.0,37.48
214,35.0,37.48
215,40.0,37.48
216,35.0,37.48
217,40.0,37.48
218,35.0,37.48
219,40.0,37.48
220,35.0,37.48
221,40.0,37.48
222,35.0,37.48
223,40.0,37.48
224,35.0,37.48
225,40.0,37.48
226,35.0,37.48
227,40.0,37.48
228,35.0,37.48
229,40.0,37.48
230,35.0,37.48
231,40.0,37.48
232,35.0,37.48
233,40.0,37.48
234,35.0,37.48
235,40.0,37.48
236,35.0,37.48
237,40.0,37.48
238,35.0,37.48
239,40.0,37.48
240,35.0,37.48
241,40.0,37.48
242,35.0,37.48
243,40.0,37.48
244,35.0,37.48
245,40.0,37.48
246,35.0,37.48
247,40.0,37.48
248,35.0,37.48
249,40.0,37.48
250,35.0,37.48
251,40.0,37.48
252,35.0,37.48
253,40.0,37.48
254,35.0,37.48
255,40.0,37.48
256,35.0,37.48
257,40.0,37.48
258,35.0,37.48
259,40.0,37.48
260,35.0,37.48
261,40.0,37.48
262,35.0,37.48
263,40.0,37.48
264,35.0,37.48
265,40.0,37.48
266,35.0,37.48
267,40.0,37.48
268,35.0,37.48
269,40.0,37.48
270,35.0,37.48
271,40.0,37.48
272,35.0,37.48
273,40.0,37.48
274,35.0,37.48
275,40.0,37.48
276,35.0,37.48
277,40.0,37.48
278,35.0,37.48
279,40.0,37.48
280,35.0,37.48
281,40.0,37.48
282,35.0,37.48
283,40.0,37.48
284,35.0,37.48
285,40.0,37.48
286,35.0,37.48
287,40.0,37.48
288,35.0,37.48
289,40.0,37.48
290,35.0,37.48
291,40.0,37.48
292,35.0,37.48
293,40.0,37.48
294,35.0,37.48
295,40.0,37.48
296,35.0,37.48
297,40.0,37.48
298,35.0,37.48
299,40.0,37.48
